Source,Target,RelationType,RelationStartYear,RelationEndYear,Experience
inst084,per031,6,99,99,99
inst085,per031,6,99,99,99
inst086,per031,6,99,99,99
inst087,per031,6,99,99,99
inst088,per031,6,99,99,99
inst089,per031,6,99,99,99
inst090,per031,6,99,99,99
inst091,per031,6,99,99,99
inst091,per115,6,99,99,99
inst092,per031,6,99,99,99
inst093,per031,6,99,99,99
inst094,per031,6,99,99,99
inst095,per031,6,99,99,99
inst096,per031,6,99,99,99
inst097,per031,6,99,99,99
inst098,per031,6,99,99,99
inst098,per037,6,99,99,99
inst099,per031,6,99,99,99
inst100,per102,6,99,99,99
inst101,per102,6,99,99,99
inst102,per102,6,99,99,99
inst103,per102,6,99,99,99
inst104,per102,6,99,99,99
inst105,per102,6,99,99,99
inst106,per102,6,99,99,99
inst107,per102,6,99,99,99
inst108,per102,6,99,99,99
inst109,per110,6,99,99,99
inst110,per110,6,99,99,99
inst111,per110,6,99,99,99
inst112,per110,6,99,99,99
inst113,per110,6,99,99,99
inst114,per110,6,99,99,99
inst114,per115,6,99,99,99
inst115,per110,6,99,99,99
inst116,per110,6,99,99,99
inst117,per110,6,99,99,99
inst118,per110,6,99,99,99
inst119,per115,6,99,99,99
inst120,per115,6,99,99,99
inst121,per115,6,99,99,99
inst121,per068,6,99,99,99
inst122,per115,6,99,99,99
inst123,per068,6,99,99,99
inst124,per068,6,99,99,99
inst125,per068,6,99,99,99
inst126,per068,6,99,99,99
inst127,per068,6,99,99,99
inst128,per068,6,99,99,99
inst129,per068,6,99,99,99
inst130,per068,6,99,99,99
inst131,per068,6,99,99,99
inst132,per068,6,99,99,99
inst133,per068,6,99,99,99
inst134,per068,6,99,99,99
inst135,per068,6,99,99,99
inst136,per068,6,99,99,99
inst137,per068,6,99,99,99
inst138,per068,6,99,99,99
inst139,per068,6,99,99,99
inst140,per068,6,99,99,99
inst141,per068,6,99,99,99
per_001,per_002,7,99,99,99
per_025,per_028,7,99,99,99
per_025,per_027,7,99,99,99
per_001,per_045,7,99,99,99
per_001,per_037,7,99,99,99
per_001,per_079,7,99,99,99
per_001,per_080,7,99,99,99
per_001,per_031,7,99,99,99
per_001,per_102,7,99,99,99
per_001,per_110,7,99,99,99
per_001,per_115,7,99,99,99
per_001,per_068,7,99,99,99
per_002,met001,9,99,99,99
per_002,met002,9,99,99,99
per_028,met001,9,99,99,99
per_027,met001,9,99,99,99
per_045,met001,9,99,99,99
per_037,met001,9,99,99,99
per_037,met002,9,99,99,99
per_079,met001,9,99,99,99
per_079,met002,9,99,99,99
per_031,met001,9,99,99,99
per_102,met002,9,99,99,99
per_110,met001,9,99,99,99
per_110,met002,9,99,99,99
per_068,met002,9,99,99,99
per002,per010,12,1960,1960,99
per_002,inst003,12,1960.0,1960.0,99
per_002,inst014,12,1960.0,1960.0,99
per_045,inst140,12,1960.0,1960.0,99
per_037,inst061,12,1970.0,1970.0,99
per_079,inst065,12,1960.0,1960.0,99
per_031,inst083,12,99,99,99
per_102,inst100,12,1960.0,1960.0,99
per_002,disc001,14,99,99,99
